S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
CBRE Group Inc,CBRE.N,,46.66 c,12.39,20.38,3.77,USD,--,--,--,22.96,2.51,0.65,--,"15,644,062,008.02"
NVR Inc,NVR.N,,4205.99 c,19.02,18.28,221.13,USD,--,--,--,42.34,6.68,2.11,--,"15,639,498,538.13"
Domino's Pizza Inc,DPZ.N,,394.1 c,41.23,31.85,9.56,USD,3.12,USD,0.79,--,--,4.29,--,"15,527,502,954.60"
Qorvo Inc,QRVO.OQ,,135.7 c,73.01,19.28,1.86,USD,--,--,--,5.13,3.61,4.79,--,"15,501,887,757.70"
Healthpeak Properties Inc,PEAK.N,,28.77 c,320.06,43.26,0.09,USD,1.48,USD,5.14,0.76,2.55,7.75,--,"15,487,447,383.03"
Catalent Inc,CTLT.N,,94.02 c,82.78,40.01,1.14,USD,--,--,--,7.62,4.40,4.99,--,"15,432,339,283.98"
SVB Financial Group,SIVB.OQ,,296.38 c,13.64,15.58,21.73,USD,--,--,--,--,2.37,4.63,--,"15,348,919,141.36"
Extra Space Storage Inc,EXR.N,,118.66 c,36.68,37.14,3.24,USD,3.60,USD,3.03,16.96,6.03,11.70,--,"15,315,435,639.26"
Teradyne Inc,TER.OQ,,92 c,35.32,20.47,2.60,USD,0.40,USD,0.43,31.14,10.32,6.66,--,"15,274,974,820.00"
Citrix Systems Inc,CTXS.OQ,,122.715 c,24.39,20.57,5.03,USD,1.40,USD,1.14,98.16,18.10,5.04,--,"15,159,227,907.42"
Nucor Corp,NUE.N,,50.19 c,12.13,19.05,4.14,USD,1.61,USD,3.21,12.62,1.46,0.67,--,"15,152,113,914.63"
Tiffany & Co,TIF.N,,123.54 c,27.76,58.30,4.45,USD,2.32,USD,1.88,16.80,4.51,3.39,--,"14,993,874,990.90"
Carmax Inc,KMX.N,,90.95 c,17.08,21.41,5.33,USD,--,--,--,24.94,3.96,0.73,--,"14,923,702,008.85"
Baker Hughes Co,BKR.N,,14.29 c,62.18,54.96,0.23,USD,0.72,USD,5.04,0.37,0.43,0.62,--,"14,772,330,684.38"
Campbell Soup Co,CPB.N,,48.55 c,24.93,16.51,1.95,USD,1.40,USD,2.88,32.30,5.73,1.69,--,"14,675,263,215.85"
Hartford Financial Services Group Inc,HIG.N,,40.61 c,7.18,8.56,5.66,USD,1.30,USD,3.20,--,0.89,0.70,--,"14,546,356,007.05"
Pool Corp,POOL.OQ,,361.71 c,56.51,42.68,6.40,USD,2.32,USD,0.64,82.55,35.34,4.53,--,"14,495,844,384.54"
IDEX Corp,IEX.N,,191.63 c,34.46,39.79,5.56,USD,2.00,USD,1.04,19.97,6.39,5.80,--,"14,470,059,868.30"
Duke Realty Corp,DRE.N,,38.95 c,33.10,82.87,1.18,USD,0.94,USD,2.41,8.86,2.88,14.82,--,"14,433,381,525.75"
Cardinal Health Inc,CAH.N,,49.34 c,--,9.02,-12.61,USD,1.94,USD,3.94,-91.07,8.07,0.09,--,"14,429,190,857.86"
Royal Caribbean Cruises Ltd,RCL.N,,64.48 c,7.20,-3.69,8.95,USD,0.00,USD,0.00,16.15,1.18,1.31,--,"14,384,701,859.84"
Masco Corp,MAS.N,,54.76 c,24.91,20.06,2.20,USD,0.56,USD,1.02,--,--,2.14,--,"14,321,495,003.24"
DISH Network Corp,DISH.OQ,,27.24 c,10.47,13.16,2.60,USD,--,--,--,13.88,1.24,1.12,--,"14,309,313,130.44"
Genuine Parts Co,GPC.N,,98.78 c,23.12,19.11,4.27,USD,3.16,USD,3.20,17.56,3.88,0.73,--,"14,252,931,923.34"
Celanese Corp,CE.N,,120.18 c,17.46,17.17,6.88,USD,2.48,USD,2.06,31.25,5.67,2.26,--,"14,216,171,879.34"
Alliant Energy Corp,LNT.OQ,,56.67 c,24.31,23.37,2.33,USD,1.52,USD,2.68,11.14,2.62,3.88,--,"14,147,345,427.84"
Pioneer Natural Resources Co,PXD.N,,85.54 c,18.97,50.02,4.51,USD,2.20,USD,2.57,6.24,1.16,1.45,--,"14,067,072,759.74"
FMC Corp,FMC.N,,107.78 c,26.39,16.63,4.08,USD,1.76,USD,1.63,19.13,5.51,3.03,--,"13,964,662,388.58"
Expedia Group Inc,EXPE.OQ,,102.72 c,27.25,-14.38,3.77,USD,0.00,USD,0.00,14.00,3.51,1.16,--,"13,939,438,353.60"
PerkinElmer Inc,PKI.N,,124.45 c,60.56,22.63,2.06,USD,0.28,USD,0.22,8.44,4.95,4.83,--,"13,915,316,516.20"
Waters Corp,WAT.N,,221.95 c,25.69,27.50,8.64,USD,--,--,--,87.19,--,5.71,--,"13,744,469,485.40"
AES Corp,AES.N,,20.65 c,45.61,14.96,0.45,USD,0.57,USD,2.78,9.74,4.58,1.35,--,"13,734,958,206.20"
M&T Bank Corp,MTB.N,,106.12 c,7.72,11.39,13.75,USD,4.40,USD,4.15,--,0.87,2.20,--,"13,613,078,163.16"
J B Hunt Transport Services Inc,JBHT.OQ,,128.97 c,27.05,28.04,4.77,USD,1.08,USD,0.84,23.64,6.00,1.48,--,"13,607,266,550.31"
Mid-America Apartment Communities Inc,MAA.N,,118.71 c,40.08,60.57,2.96,USD,4.00,USD,3.37,5.78,2.23,8.27,--,"13,576,293,248.13"
ONEOK Inc,OKE.N,,30.55 c,9.94,12.43,3.07,USD,3.74,USD,12.24,19.97,2.18,1.34,--,"13,570,369,572.50"
United Rentals Inc,URI.N,,188.24 c,12.46,12.43,15.11,USD,--,--,--,32.46,3.54,1.45,--,"13,568,391,342.48"
CH Robinson Worldwide Inc,CHRW.OQ,,100.54 c,24.00,28.04,4.19,USD,2.04,USD,2.03,35.33,8.11,0.89,--,"13,555,144,937.62"
Essex Property Trust Inc,ESS.N,,203.23 c,30.51,25.00,6.66,USD,8.31,USD,4.09,7.04,2.13,9.08,--,"13,252,617,325.58"
Ulta Beauty Inc,ULTA.OQ,,235.11 c,19.35,66.79,12.15,USD,--,--,--,37.93,6.96,1.79,--,"13,242,124,981.44"
Regions Financial Corp,RF.N,,13.78 c,9.16,17.01,1.50,USD,0.62,USD,4.50,--,0.81,2.24,--,"13,231,083,056.62"
J M Smucker Co,SJM.N,,115.54 c,16.90,13.37,6.84,USD,3.60,USD,3.12,9.65,1.61,1.69,--,"13,180,091,473.60"
Carnival Corp,CCL.N,,15.36 c,3.55,-2.12,4.32,USD,0.00,USD,0.00,12.00,0.52,0.63,--,"13,178,195,576.93"
KeyCorp,KEY.N,,13.45 c,8.37,12.23,1.61,USD,0.74,USD,5.50,--,0.77,2.06,--,"13,127,199,717.55"
Seagate Technology PLC,STX.OQ,,50.74 c,13.39,10.77,3.79,USD,2.68,USD,5.28,50.85,7.28,1.24,--,"13,016,685,198.18"
Darden Restaurants Inc,DRI.N,,99.53 c,--,23.81,-0.40,USD,1.20,USD,1.21,-2.08,5.56,1.66,--,"12,958,799,530.55"
Jacobs Engineering Group Inc,J.N,,99.21 c,42.23,19.16,2.35,USD,0.76,USD,0.77,5.66,2.26,1.01,--,"12,917,939,747.61"
Evergy Inc,EVRG.N,,56.37 c,20.19,18.79,2.79,USD,2.02,USD,3.58,7.20,1.49,2.48,--,"12,786,268,429.80"
Western Digital Corp,WDC.OQ,,41.72 c,--,13.12,-0.84,USD,0.00,USD,0.00,-2.56,1.33,0.76,--,"12,691,796,648.72"
ABIOMED Inc,ABMD.OQ,,281.42 c,63.51,67.49,4.43,USD,--,--,--,20.28,11.90,15.08,--,"12,677,200,472.04"
Hasbro Inc,HAS.OQ,,92 c,22.71,27.88,4.05,USD,2.72,USD,2.96,21.91,4.21,2.67,--,"12,606,089,688.00"
Teledyne Technologies Inc,TDY.N,,340.46 c,31.74,34.36,10.73,USD,--,--,--,16.27,4.63,3.97,--,"12,556,752,093.50"
Cincinnati Financial Corp,CINF.OQ,,77.4 c,6.40,27.35,12.10,USD,2.40,USD,3.10,--,1.26,1.57,--,"12,450,061,287.00"
Citizens Financial Group Inc,CFG.N,,29.13 c,7.65,13.94,3.81,USD,1.56,USD,5.36,--,0.56,1.92,--,"12,440,638,936.92"
Live Nation Entertainment Inc,LYV.N,,57.16 c,--,-7.81,-0.02,USD,--,--,--,6.23,10.84,1.08,--,"12,418,283,053.32"
Whirlpool Corp,WHR.N,,198.11 c,10.16,11.11,19.50,USD,5.00,USD,2.52,45.64,3.88,0.61,--,"12,391,161,604.36"
NortonLifeLock Inc,NLOK.OQ,,20.84 c,23.18,15.55,0.90,USD,0.50,USD,2.40,20.11,"1,231.65",4.95,--,"12,316,501,457.16"
Leidos Holdings Inc,LDOS.N,,85.8 c,18.65,15.54,4.60,USD,1.36,USD,1.59,19.85,3.57,1.10,--,"12,200,206,675.80"
Hewlett Packard Enterprise Co,HPE.N,,9.48 c,8.43,7.18,1.13,USD,0.48,USD,5.06,8.02,0.71,0.42,--,"12,194,916,177.24"
CenterPoint Energy Inc,CNP.N,,22.23 c,16.66,17.23,1.33,USD,0.60,USD,2.70,9.64,1.45,0.98,--,"12,111,325,792.02"
Hess Corp,HES.N,,39.37 c,--,-17.12,-1.37,USD,1.00,USD,2.54,-4.44,1.38,1.86,--,"12,092,275,972.88"
Boston Properties Inc,BXP.N,,77.67 c,23.54,13.03,3.30,USD,3.92,USD,5.05,9.02,2.13,4.08,--,"12,088,077,246.00"
Jack Henry & Associates Inc,JKHY.OQ,,158.31 c,41.01,42.33,3.86,USD,1.72,USD,1.09,19.92,7.80,7.12,--,"12,083,232,384.00"
Atmos Energy Corp,ATO.N,,97.69 c,22.46,20.74,4.35,USD,2.30,USD,2.35,9.72,2.10,4.15,--,"12,050,548,191.58"
Principal Financial Group Inc,PFG.OQ,,43.52 c,8.77,8.01,4.96,USD,2.24,USD,5.15,--,0.82,0.73,--,"11,947,053,736.96"
Avery Dennison Corp,AVY.N,,141.74 c,39.68,20.81,3.57,USD,2.48,USD,1.75,28.12,9.83,1.67,--,"11,829,925,849.70"
International Flavors & Fragrances Inc,IFF.N,,110.57 c,27.67,19.06,4.00,USD,3.08,USD,2.79,7.44,1.90,2.30,--,"11,823,532,827.49"
Eastman Chemical Co,EMN.N,,87.32 c,15.93,15.41,5.48,USD,2.64,USD,3.02,12.91,1.98,1.27,--,"11,818,740,693.92"
Westinghouse Air Brake Technologies Corp,WAB.N,,62.06 c,33.78,16.55,1.84,USD,0.48,USD,0.77,5.10,1.19,1.44,--,"11,809,990,197.12"
Fortune Brands Home & Security Inc,FBHS.N,,85.47 c,27.96,21.92,3.06,USD,0.96,USD,1.12,18.76,4.87,2.05,--,"11,807,536,995.87"
Pultegroup Inc,PHM.N,,43.99 c,12.03,9.33,3.66,USD,0.48,USD,1.09,19.79,2.16,1.15,--,"11,793,443,710.58"
W. R. Berkley Corp,WRB.N,,65.72 c,18.65,30.15,3.52,USD,0.48,USD,0.73,--,1.93,1.48,--,"11,698,410,196.04"
Halliburton Co,HAL.N,,13.31 c,--,21.70,-1.29,USD,0.18,USD,1.35,-12.90,1.46,0.52,--,"11,692,441,037.31"
MGM Resorts International,MGM.N,,23.36 c,6.02,-12.23,3.88,USD,0.01,USD,0.04,28.78,1.49,0.89,--,"11,523,048,084.48"
Franklin Resources Inc,BEN.N,,23.22 c,9.88,8.55,2.35,USD,1.08,USD,4.65,12.07,1.16,1.99,--,"11,499,236,559.72"
DaVita Inc,DVA.N,,91.05 c,19.85,13.37,4.59,USD,--,--,--,24.17,5.38,1.01,--,"11,475,635,343.60"
Gartner Inc,IT.N,,128.13 c,49.96,40.68,2.56,USD,--,--,--,26.08,12.18,2.69,--,"11,433,372,397.35"
Omnicom Group Inc,OMC.N,,52.72 c,8.70,11.13,6.06,USD,2.60,USD,4.93,49.59,3.97,0.76,--,"11,327,879,129.28"
Packaging Corp of America,PKG.N,,119.2 c,16.23,21.93,7.35,USD,3.16,USD,2.65,24.25,3.68,1.62,--,"11,304,334,622.40"
Raymond James Financial Inc,RJF.N,,81.11 c,11.32,14.39,7.17,USD,1.48,USD,1.82,15.97,1.69,1.39,--,"11,125,029,836.91"
United Airlines Holdings Inc,UAL.OQ,,38.01 c,3.28,-1.42,11.58,USD,--,--,--,27.90,0.96,0.26,--,"11,060,566,883.73"
DENTSPLY SIRONA Inc,XRAY.OQ,,49.15 c,41.95,42.74,1.17,USD,0.40,USD,0.81,5.15,2.11,2.67,--,"10,739,097,666.80"
Advance Auto Parts Inc,AAP.N,,154.72 c,22.61,18.43,6.84,USD,1.00,USD,0.65,13.72,3.01,1.10,--,"10,697,149,411.36"
IPG Photonics Corp,IPGP.OQ,,200.18 c,59.80,62.17,3.35,USD,--,--,--,7.82,4.44,8.11,--,"10,660,978,452.98"
Huntington Bancshares Inc,HBAN.OQ,,10.47 c,8.27,15.06,1.27,USD,0.60,USD,5.73,--,0.90,2.28,--,"10,651,241,971.53"
Lamb Weston Holdings Inc,LW.N,,72.11 c,28.99,28.62,2.49,USD,0.92,USD,1.28,310.88,43.97,2.78,--,"10,552,509,760.82"
Centurylink Inc,LUMN.N,,9.61 c,--,6.91,-4.92,USD,1.00,USD,10.41,-31.65,0.78,0.47,--,"10,547,339,238.22"
Westrock Co,WRK.N,,40.24 c,12.03,14.96,3.35,USD,0.80,USD,1.99,7.49,0.90,0.57,--,"10,447,767,005.68"
NetApp Inc,NTAP.OQ,,46.89 c,13.34,13.83,3.52,USD,1.92,USD,4.09,122.97,43.02,1.92,--,"10,409,818,576.32"
Albemarle Corp,ALB.N,,96.48 c,19.24,27.45,5.02,USD,1.54,USD,1.60,14.19,2.61,2.86,--,"10,261,418,778.72"
Loews Corp,L.N,,36.23 c,11.79,--,3.07,USD,0.25,USD,0.69,--,0.53,0.68,--,"10,160,493,257.31"
Discovery Inc,DISCA.OQ,,21.1 c,7.32,7.10,2.88,USD,--,--,--,22.64,1.02,0.91,--,"10,101,252,215.10"
Discovery Inc,DISCK.OQ,,19.11 c,7.32,6.57,2.88,USD,--,--,--,22.64,1.02,0.91,--,"10,101,252,215.10"
LKQ Corp,LKQ.OQ,,32.88 c,18.91,15.40,1.74,USD,--,--,--,11.04,2.00,0.80,--,"10,005,139,997.52"
Universal Health Services Inc,UHS.N,,115.58 c,12.66,12.80,9.13,USD,0.00,USD,0.00,14.96,1.78,0.86,--,"9,819,176,635.93"
Pinnacle West Capital Corp,PNW.N,,86.73 c,23.61,17.86,3.67,USD,3.32,USD,3.83,7.78,1.80,2.81,--,"9,762,065,747.91"
Henry Schein Inc,HSIC.OQ,,67.79 c,14.44,25.87,4.69,USD,--,--,--,23.52,3.23,0.97,--,"9,678,226,314.82"
UDR Inc,UDR.N,,32.79 c,51.85,218.60,0.63,USD,1.44,USD,4.39,5.91,2.88,8.40,--,"9,675,242,798.46"
L Brands Inc,LB.N,,34.76 c,--,28.73,-1.33,USD,0.00,USD,0.00,--,--,0.75,--,"9,659,422,265.68"
Allegion PLC,ALLE.N,,102.88 c,24.15,21.50,4.26,USD,1.28,USD,1.24,57.06,12.50,3.32,--,"9,468,973,863.20"
Occidental Petroleum Corp,OXY.N,,10.02 c,--,-2.84,-1.20,USD,0.04,USD,0.40,-2.35,0.27,0.45,--,"9,320,024,373.06"
NiSource Inc,NI.N,,24.31 c,27.87,18.70,0.87,USD,0.84,USD,3.46,6.53,1.56,1.79,--,"9,311,290,053.78"
Concho Resources Inc,CXO.N,,46.97 c,--,10.85,-3.55,USD,0.80,USD,1.70,-3.86,0.52,2.01,--,"9,220,456,324.31"
Snap-On Inc,SNA.N,,169.39 c,13.65,15.91,12.41,USD,4.32,USD,2.55,21.31,2.69,2.26,--,"9,183,403,810.23"
Globe Life Inc,GL.N,,86.14 c,12.61,12.47,6.83,USD,0.75,USD,0.87,--,1.26,2.03,--,"9,175,002,944.32"
Western Union Co,WU.N,,21.97 c,8.95,12.34,2.46,USD,0.90,USD,4.10,--,--,1.71,--,"9,029,757,133.02"
Cboe Global Markets Inc,CBOE.Z,,81.72 c,24.51,15.85,3.33,USD,1.68,USD,2.06,11.37,2.65,3.56,--,"8,887,694,198.76"
A. O. Smith Corp,AOS.N,,54.93 c,24.75,29.45,2.22,USD,1.04,USD,1.89,21.87,5.32,2.96,--,"8,866,428,833.76"
Quanta Services Inc,PWR.N,,62.27 c,22.85,18.70,2.73,USD,0.20,USD,0.32,10.50,2.13,0.71,--,"8,645,775,155.42"
Pentair PLC,PNR.N,,51.97 c,24.48,21.39,2.12,USD,0.76,USD,1.46,19.09,4.42,2.92,--,"8,645,017,055.09"
Everest Re Group Ltd,RE.N,,214.02 c,8.67,17.13,24.70,USD,6.20,USD,2.90,--,0.94,1.04,--,"8,554,763,779.92"
Howmet Aerospace Inc,HWM.N,,18.95 c,18.39,27.07,1.03,USD,0.00,USD,0.00,9.23,1.79,0.58,--,"8,264,881,557.65"
Wynn Resorts Ltd,WYNN.OQ,,76.56 c,66.60,-4.93,1.15,USD,0.00,USD,0.00,6.51,4.74,1.25,--,"8,256,840,506.64"
News Corp,NWSA.OQ,,13.98 c,--,52.75,-2.16,USD,0.20,USD,1.43,-15.17,1.09,0.92,--,"8,242,364,675.72"
News Corp,NWS.OQ,,13.91 c,--,52.49,-2.16,USD,0.20,USD,1.44,-15.17,1.09,0.92,--,"8,242,364,675.72"
Borgwarner Inc,BWA.N,,39.75 c,10.70,17.98,3.71,USD,0.68,USD,1.71,17.20,1.75,0.81,--,"8,238,353,734.50"
NRG Energy Inc,NRG.N,,33.67 c,2.16,9.15,15.59,USD,1.20,USD,3.56,"1,941.98",4.96,0.84,--,"8,220,121,342.16"
Host Hotels & Resorts Inc,HST.N,,11.64 c,9.25,-8.86,1.26,USD,0.00,USD,0.00,12.42,1.12,1.50,--,"8,209,263,741.12"
Mylan NV,MYL.OQ,,15.69 c,482.32,3.48,0.03,USD,--,--,--,0.14,0.68,0.71,--,"8,110,898,131.89"
Iron Mountain Inc,IRM.N,,27.85 c,29.98,27.30,0.93,USD,2.47,USD,8.88,16.08,5.48,1.88,--,"8,024,930,684.15"
Textron Inc,TXT.N,,35.19 c,10.05,23.08,3.50,USD,0.08,USD,0.23,15.22,1.45,0.59,--,"8,024,567,837.40"
Gap Inc,GPS.N,,21.42 c,21.25,-10.55,1.01,USD,0.97,USD,4.53,11.09,2.41,0.49,--,"8,002,363,580.82"
F5 Networks Inc,FFIV.OQ,,128.36 c,18.14,13.76,7.08,USD,--,--,--,28.08,4.46,3.50,--,"7,852,180,271.24"
Cabot Oil & Gas Corp,COG.N,,19.68 c,12.06,33.36,1.63,USD,0.40,USD,2.03,32.13,3.65,3.80,--,"7,844,052,058.08"
Newell Brands Inc,NWL.OQ,,18 c,41.00,14.75,0.44,USD,0.92,USD,5.11,3.66,1.54,0.79,--,"7,637,400,000.00"
Molson Coors Beverage Co,TAP.N,,35.68 c,32.02,9.86,1.11,USD,0.00,USD,0.00,1.80,0.57,0.72,--,"7,625,829,000.66"
Interpublic Group of Companies Inc,IPG.N,,19.34 c,11.53,11.72,1.68,USD,1.02,USD,5.27,25.38,2.72,0.74,--,"7,541,108,808.64"
Assurant Inc,AIZ.N,,125.99 c,21.57,14.25,5.84,USD,2.52,USD,2.00,--,1.33,0.74,--,"7,515,061,221.23"
Mohawk Industries Inc,MHK.N,,104.68 c,10.16,16.76,10.30,USD,--,--,--,9.57,0.92,0.75,--,"7,452,697,310.60"
Juniper Networks Inc,JNPR.N,,22.29 c,22.50,14.38,0.99,USD,0.80,USD,3.59,7.31,1.60,1.66,--,"7,394,715,591.27"
Lincoln National Corp,LNC.N,,37.05 c,8.62,4.88,4.30,USD,1.60,USD,4.32,--,0.36,0.41,--,"7,159,842,846.00"
Mosaic Co,MOS.N,,18.7 c,--,58.44,-2.78,USD,0.20,USD,1.07,-10.90,0.77,0.80,--,"7,088,983,243.10"
Vornado Realty Trust,VNO.N,,34.07 c,2.10,-52.54,16.21,USD,2.12,USD,6.22,56.23,0.97,3.38,--,"6,512,519,407.94"
Regency Centers Corp,REG.OQ,,38.29 c,26.83,89.05,1.43,USD,2.38,USD,6.22,3.80,1.05,5.73,--,"6,496,566,890.24"
Comerica Inc,CMA.N,,46.39 c,5.88,16.24,7.89,USD,2.72,USD,5.86,--,0.88,1.93,--,"6,451,427,332.06"
Sealed Air Corp,SEE.N,,41.29 c,26.89,14.09,1.54,USD,0.64,USD,1.55,--,--,1.34,--,"6,427,881,776.62"
Invesco Ltd,IVZ.N,,13.98 c,10.91,8.52,1.28,USD,0.62,USD,4.43,6.13,0.46,1.05,--,"6,419,139,687.42"
American Airlines Group Inc,AAL.OQ,,12.6 c,3.32,-0.63,3.80,USD,0.00,USD,0.00,--,--,0.14,--,"6,408,760,390.20"
Perrigo Company PLC,PRGO.N,,45.62 c,42.62,11.26,1.07,USD,0.90,USD,1.97,2.55,1.07,1.29,--,"6,226,194,926.86"
Under Armour Inc,UAA.N,,14.66 c,72.28,-20.15,0.20,USD,--,--,--,4.42,2.89,1.18,--,"6,218,291,986.70"
Under Armour Inc,UA.N,,12.74 c,72.28,-17.45,0.20,USD,--,--,--,4.42,2.89,1.18,--,"6,218,291,986.70"
Huntington Ingalls Industries Inc,HII.N,,152.82 c,11.52,10.50,13.26,USD,4.12,USD,2.70,35.37,3.90,0.70,--,"6,188,010,974.28"
HanesBrands Inc,HBI.N,,17.58 c,10.70,12.04,1.64,USD,0.60,USD,3.41,56.97,4.95,0.88,--,"6,120,666,424.50"
Tapestry Inc,TPR.N,,21.43 c,--,11.38,-2.34,USD,0.00,USD,0.00,-22.53,2.61,1.20,--,"5,944,114,919.34"
Robert Half International Inc,RHI.N,,51.67 c,13.24,20.34,3.90,USD,1.36,USD,2.63,41.18,5.18,0.98,--,"5,923,197,322.11"
CF Industries Holdings Inc,CF.N,,27.58 c,12.40,18.39,2.22,USD,1.20,USD,4.35,16.84,2.04,1.29,--,"5,898,808,772.78"
Leggett & Platt Inc,LEG.N,,44.44 c,18.03,22.62,2.47,USD,1.60,USD,3.60,27.04,4.48,1.24,--,"5,883,541,275.92"
Federal Realty Investment Trust,FRT.N,,76.72 c,16.64,49.18,4.61,USD,4.24,USD,5.53,14.50,2.29,6.20,--,"5,803,005,590.48"
Ralph Lauren Corp,RL.N,,77.39 c,23.07,48.34,3.35,USD,0.00,USD,0.00,8.66,2.10,0.92,--,"5,652,927,862.59"
Zions Bancorporation NA,ZION.OQ,,33.2 c,7.98,14.25,4.16,USD,1.36,USD,4.10,--,0.74,1.92,--,"5,444,159,572.00"
Alaska Air Group Inc,ALK.N,,41.57 c,6.72,-4.33,6.19,USD,0.00,USD,0.00,19.03,1.19,0.59,--,"5,139,703,576.10"
Nielsen Holdings PLC,NLSN.N,,14.18 c,--,9.12,-1.17,USD,0.24,USD,1.69,-16.46,2.30,0.78,--,"5,058,771,209.52"
Norwegian Cruise Line Holdings Ltd,NCLH.N,,18.35 c,4.27,-2.21,4.30,USD,--,--,--,14.91,0.78,0.78,--,"5,057,606,594.80"
DXC Technology Co,DXC.N,,19.84 c,--,8.98,-20.77,USD,0.00,USD,0.00,-66.35,1.05,0.26,--,"5,043,220,665.60"
Apartment Investment and Management Co,AIV.N,,33.85 c,10.74,141.04,3.15,USD,3.28,USD,9.69,27.25,2.83,5.51,--,"5,039,112,305.95"
Kimco Realty Corp,KIM.N,,11.5 c,14.38,5.54,0.80,USD,0.40,USD,3.48,8.05,1.02,4.29,--,"4,973,791,791.00"
People's United Financial Inc,PBCT.OQ,,11.44 c,8.98,10.04,1.27,USD,0.72,USD,6.29,--,0.61,2.64,--,"4,859,449,635.04"
FLIR Systems Inc,FLIR.OQ,,36.16 c,28.79,16.36,1.26,USD,0.68,USD,1.88,9.16,2.53,2.51,--,"4,741,370,254.40"
PVH Corp,PVH.N,,64.94 c,11.61,-20.91,5.59,USD,0.00,USD,0.00,7.17,0.79,0.47,--,"4,616,779,939.52"
Diamondback Energy Inc,FANG.OQ,,29.03 c,19.82,11.48,1.46,USD,1.50,USD,5.17,1.78,0.35,1.16,--,"4,581,633,274.64"
Xerox Holdings Corp,XRX.N,,19.73 c,7.68,16.17,2.57,USD,1.00,USD,5.07,11.13,0.72,0.46,--,"4,202,758,328.00"
Flowserve Corp,FLS.N,,31.75 c,16.49,19.05,1.93,USD,0.80,USD,2.52,14.78,2.31,1.05,--,"4,132,571,110.00"
Vontier Corp,VNT.N,,30.29 c,11.67,13.11,2.60,USD,--,--,--,24.08,2.24,1.47,--,"4,083,958,233.42"
Unum Group,UNM.N,,20.02 c,3.82,3.89,5.24,USD,1.14,USD,5.69,--,0.41,0.34,--,"4,075,210,619.48"
Devon Energy Corp,DVN.N,,9.36 c,--,-52.00,-0.21,USD,0.44,USD,4.70,-1.08,0.62,0.58,--,"3,583,008,000.00"
National Oilwell Varco Inc,NOV.N,,9.19 c,--,-51.06,-15.96,USD,0.00,USD,0.00,-56.44,0.46,0.42,--,"3,568,327,157.05"
Marathon Oil Corp,MRO.N,,4.44 c,7.49,-3.61,0.59,USD,0.12,USD,2.70,3.95,0.29,0.68,--,"3,505,110,141.24"
Apache Corp,APA.OQ,,9.28 c,--,-6.93,-9.42,USD,0.10,USD,1.08,-68.43,1.08,0.55,--,"3,502,816,327.68"
SL Green Realty Corp,SLG.N,,47.39 c,15.26,30.42,3.10,USD,3.54,USD,7.47,4.72,0.61,2.80,--,"3,471,346,455.29"
HollyFrontier Corp,HFC.N,,20.39 c,4.42,-36.09,4.61,USD,1.40,USD,6.87,12.98,0.55,0.19,--,"3,303,494,332.24"
TechnipFMC PLC,FTI.N,,6.47 c,--,17.87,-5.39,USD,0.52,USD,8.04,-26.81,0.38,0.22,--,"2,907,671,267.51"
1 - 505 of 505,,,,,,,,,,,,,,,
